product_name,product_category,review,sentiment
Laptop Sleeve,Accessories,Average product. Meets basic expectations.,Neutral
Gaming Headset,Audio,Uncomfortable to use for long periods.,Negative
Wireless Mouse,Accessories,"Works fine, but a bit overpriced.",Neutral
Smartwatch,Wearables,"It does the job, nothing extraordinary.",Neutral
Office Chair,Furniture,"Battery lasts forever, very impressed.",Positive
Robot Vacuum,Home Goods,"Not bad, but not great either.",Neutral
Wireless Mouse,Accessories,Average product. Meets basic expectations.,Neutral
Robot Vacuum,Home Goods,Sturdy and stylish. Worth every penny.,Positive
Office Chair,Furniture,Sturdy and stylish. Worth every penny.,Positive
Laptop Sleeve,Accessories,Charges quickly and holds a lot of power.,Positive
Office Chair,Furniture,"Decent for the price, but there are better options.",Neutral
Smartwatch,Wearables,A must-have for anyone. Love it!,Positive
Laptop Sleeve,Accessories,Very disappointed. Does not work as advertised.,Negative
Wireless Mouse,Accessories,Average product. Meets basic expectations.,Neutral
Smartwatch,Wearables,Super comfortable and very reliable.,Positive
Laptop Sleeve,Accessories,Absolutely love this product! Works perfectly.,Positive
Portable Charger,Accessories,"Not bad, but not great either.",Neutral
Gaming Headset,Audio,Charges quickly and holds a lot of power.,Positive
Office Chair,Furniture,"Returned it immediately, not worth it.",Negative
Gaming Headset,Audio,Sound quality is crystal clear. Fantastic purchase.,Positive
Gaming Headset,Audio,"Gets stuck constantly, very frustrating.",Negative
Wireless Mouse,Accessories,"Stopped working suddenly, very unreliable.",Negative
Action Camera,Electronics,Amazing build quality and easy to use.,Positive
Laptop Sleeve,Accessories,"Nothing special, just a regular product.",Neutral
Gaming Headset,Audio,A must-have for anyone. Love it!,Positive
Robot Vacuum,Home Goods,"Battery lasts forever, very impressed.",Positive
Smartwatch,Wearables,"Not bad, but not great either.",Neutral
Smartwatch,Wearables,The sound is distorted and unpleasant.,Negative
Office Chair,Furniture,"Returned it immediately, not worth it.",Negative
Robot Vacuum,Home Goods,Sturdy and stylish. Worth every penny.,Positive
Office Chair,Furniture,Sturdy and stylish. Worth every penny.,Positive
Gaming Headset,Audio,"Works fine, but a bit overpriced.",Neutral
Action Camera,Electronics,Sturdy and stylish. Worth every penny.,Positive
Smartwatch,Wearables,Sound quality is crystal clear. Fantastic purchase.,Positive
Wireless Mouse,Accessories,"Returned it immediately, not worth it.",Negative
Bluetooth Speaker,Audio,Acceptable quality for everyday use.,Neutral
Robot Vacuum,Home Goods,"Stopped working suddenly, very unreliable.",Negative
Portable Charger,Accessories,The sound is distorted and unpleasant.,Negative
Action Camera,Electronics,Uncomfortable to use for long periods.,Negative
Bluetooth Speaker,Audio,"Cheap build quality, feels flimsy.",Negative
Office Chair,Furniture,A must-have for anyone. Love it!,Positive
Portable Charger,Accessories,Poorly designed and difficult to use.,Negative
Laptop Sleeve,Accessories,Very disappointed. Does not work as advertised.,Negative
Smartwatch,Wearables,"Stopped working suddenly, very unreliable.",Negative
Electric Kettle,Kitchen,A must-have for anyone. Love it!,Positive
Laptop Sleeve,Accessories,Sound quality is crystal clear. Fantastic purchase.,Positive
Smartwatch,Wearables,Amazing build quality and easy to use.,Positive
Action Camera,Electronics,"Gets stuck constantly, very frustrating.",Negative
Smartwatch,Wearables,Uncomfortable to use for long periods.,Negative
Smartwatch,Wearables,Absolutely love this product! Works perfectly.,Positive
Electric Kettle,Kitchen,"Gets stuck constantly, very frustrating.",Negative
Robot Vacuum,Home Goods,Perfect for my needs. Exceeded expectations.,Positive
Robot Vacuum,Home Goods,Poorly designed and difficult to use.,Negative
Smartwatch,Wearables,"Battery lasts forever, very impressed.",Positive
Office Chair,Furniture,Amazing build quality and easy to use.,Positive
Bluetooth Speaker,Audio,The sound is distorted and unpleasant.,Negative
Action Camera,Electronics,Charges quickly and holds a lot of power.,Positive
Robot Vacuum,Home Goods,"Works fine, but a bit overpriced.",Neutral
Smartwatch,Wearables,"Battery lasts forever, very impressed.",Positive
Smartwatch,Wearables,Great value for the price. Highly recommend.,Positive
Bluetooth Speaker,Audio,Uncomfortable to use for long periods.,Negative
Office Chair,Furniture,Great value for the price. Highly recommend.,Positive
Smartwatch,Wearables,Sturdy and stylish. Worth every penny.,Positive
Laptop Sleeve,Accessories,"It does the job, nothing extraordinary.",Neutral
Smartwatch,Wearables,"Battery lasts forever, very impressed.",Positive
Robot Vacuum,Home Goods,"Okay quality, but could be improved.",Neutral
Portable Charger,Accessories,Great value for the price. Highly recommend.,Positive
Gaming Headset,Audio,"It does the job, nothing extraordinary.",Neutral
Bluetooth Speaker,Audio,Amazing build quality and easy to use.,Positive
Electric Kettle,Kitchen,Sound quality is crystal clear. Fantastic purchase.,Positive
Wireless Mouse,Accessories,"Stopped working suddenly, very unreliable.",Negative
Gaming Headset,Audio,"Cheap build quality, feels flimsy.",Negative
Robot Vacuum,Home Goods,Poorly designed and difficult to use.,Negative
Electric Kettle,Kitchen,"Nothing special, just a regular product.",Neutral
Gaming Headset,Audio,Uncomfortable to use for long periods.,Negative
Action Camera,Electronics,Amazing build quality and easy to use.,Positive
Electric Kettle,Kitchen,A must-have for anyone. Love it!,Positive
Office Chair,Furniture,Super comfortable and very reliable.,Positive
Action Camera,Electronics,Sound quality is crystal clear. Fantastic purchase.,Positive
Bluetooth Speaker,Audio,Satisfactory performance overall.,Neutral
Laptop Sleeve,Accessories,Satisfactory performance overall.,Neutral
Smartwatch,Wearables,"Cheap build quality, feels flimsy.",Negative
Gaming Headset,Audio,Sound quality is crystal clear. Fantastic purchase.,Positive
Office Chair,Furniture,"Nothing special, just a regular product.",Neutral
Laptop Sleeve,Accessories,Amazing build quality and easy to use.,Positive
Bluetooth Speaker,Audio,Poorly designed and difficult to use.,Negative
Smartwatch,Wearables,A must-have for anyone. Love it!,Positive
Wireless Mouse,Accessories,Battery drains way too fast. Terrible product.,Negative
Gaming Headset,Audio,"Okay quality, but could be improved.",Neutral
Laptop Sleeve,Accessories,Sturdy and stylish. Worth every penny.,Positive
Smartwatch,Wearables,The sound is distorted and unpleasant.,Negative
Portable Charger,Accessories,"Cheap build quality, feels flimsy.",Negative
Laptop Sleeve,Accessories,Absolutely love this product! Works perfectly.,Positive
Electric Kettle,Kitchen,"Gets the job done, but feels basic.",Neutral
Smartwatch,Wearables,The sound is distorted and unpleasant.,Negative
Bluetooth Speaker,Audio,Sound quality is crystal clear. Fantastic purchase.,Positive
Robot Vacuum,Home Goods,"Decent for the price, but there are better options.",Neutral
Smartwatch,Wearables,Super comfortable and very reliable.,Positive
Electric Kettle,Kitchen,Satisfactory performance overall.,Neutral
Bluetooth Speaker,Audio,Sound quality is crystal clear. Fantastic purchase.,Positive
Action Camera,Electronics,"Returned it immediately, not worth it.",Negative
Smartwatch,Wearables,"Okay quality, but could be improved.",Neutral
Laptop Sleeve,Accessories,Sturdy and stylish. Worth every penny.,Positive
Smartwatch,Wearables,Amazing build quality and easy to use.,Positive
Action Camera,Electronics,"Cheap build quality, feels flimsy.",Negative
Action Camera,Electronics,Absolutely love this product! Works perfectly.,Positive
Portable Charger,Accessories,Very disappointed. Does not work as advertised.,Negative
Laptop Sleeve,Accessories,Average product. Meets basic expectations.,Neutral
Laptop Sleeve,Accessories,"Stopped working suddenly, very unreliable.",Negative
Portable Charger,Accessories,Charges quickly and holds a lot of power.,Positive
Bluetooth Speaker,Audio,Perfect for my needs. Exceeded expectations.,Positive
Portable Charger,Accessories,Sound quality is crystal clear. Fantastic purchase.,Positive
Action Camera,Electronics,"Cheap build quality, feels flimsy.",Negative
Wireless Mouse,Accessories,"Returned it immediately, not worth it.",Negative
Wireless Mouse,Accessories,Charges quickly and holds a lot of power.,Positive
Action Camera,Electronics,Poorly designed and difficult to use.,Negative
Bluetooth Speaker,Audio,Battery drains way too fast. Terrible product.,Negative
Wireless Mouse,Accessories,Battery drains way too fast. Terrible product.,Negative
Gaming Headset,Audio,A must-have for anyone. Love it!,Positive
Bluetooth Speaker,Audio,Battery drains way too fast. Terrible product.,Negative
Electric Kettle,Kitchen,Very disappointed. Does not work as advertised.,Negative
Portable Charger,Accessories,"Gets the job done, but feels basic.",Neutral
Electric Kettle,Kitchen,Sound quality is crystal clear. Fantastic purchase.,Positive
Laptop Sleeve,Accessories,"Okay quality, but could be improved.",Neutral
Office Chair,Furniture,Satisfactory performance overall.,Neutral
Robot Vacuum,Home Goods,Super comfortable and very reliable.,Positive
Wireless Mouse,Accessories,Completely broke after a week. Waste of money.,Negative
Bluetooth Speaker,Audio,Great value for the price. Highly recommend.,Positive
Robot Vacuum,Home Goods,Sound quality is crystal clear. Fantastic purchase.,Positive
Smartwatch,Wearables,"Decent for the price, but there are better options.",Neutral
Electric Kettle,Kitchen,Sound quality is crystal clear. Fantastic purchase.,Positive
Gaming Headset,Audio,Great value for the price. Highly recommend.,Positive
Laptop Sleeve,Accessories,Sturdy and stylish. Worth every penny.,Positive
Office Chair,Furniture,"Nothing special, just a regular product.",Neutral
Gaming Headset,Audio,Acceptable quality for everyday use.,Neutral
Office Chair,Furniture,"Nothing special, just a regular product.",Neutral
Gaming Headset,Audio,"Gets the job done, but feels basic.",Neutral
Bluetooth Speaker,Audio,"Stopped working suddenly, very unreliable.",Negative
Laptop Sleeve,Accessories,Satisfactory performance overall.,Neutral
Smartwatch,Wearables,"Gets stuck constantly, very frustrating.",Negative
Gaming Headset,Audio,"Nothing special, just a regular product.",Neutral
Electric Kettle,Kitchen,Acceptable quality for everyday use.,Neutral
Gaming Headset,Audio,Amazing build quality and easy to use.,Positive
Electric Kettle,Kitchen,Completely broke after a week. Waste of money.,Negative
Laptop Sleeve,Accessories,Amazing build quality and easy to use.,Positive
Bluetooth Speaker,Audio,"Okay quality, but could be improved.",Neutral
Smartwatch,Wearables,Sound quality is crystal clear. Fantastic purchase.,Positive
Electric Kettle,Kitchen,"Not bad, but not great either.",Neutral
Gaming Headset,Audio,Amazing build quality and easy to use.,Positive
Wireless Mouse,Accessories,Satisfactory performance overall.,Neutral
Bluetooth Speaker,Audio,Average product. Meets basic expectations.,Neutral
Gaming Headset,Audio,Very disappointed. Does not work as advertised.,Negative
Bluetooth Speaker,Audio,"Cheap build quality, feels flimsy.",Negative
Gaming Headset,Audio,"Works fine, but a bit overpriced.",Neutral
Smartwatch,Wearables,Very disappointed. Does not work as advertised.,Negative
Portable Charger,Accessories,"It does the job, nothing extraordinary.",Neutral
Bluetooth Speaker,Audio,"Gets stuck constantly, very frustrating.",Negative
Portable Charger,Accessories,"Works fine, but a bit overpriced.",Neutral
Smartwatch,Wearables,A must-have for anyone. Love it!,Positive
Smartwatch,Wearables,"Returned it immediately, not worth it.",Negative
Smartwatch,Wearables,Completely broke after a week. Waste of money.,Negative
Wireless Mouse,Accessories,"It does the job, nothing extraordinary.",Neutral
Gaming Headset,Audio,"Nothing special, just a regular product.",Neutral
Electric Kettle,Kitchen,Super comfortable and very reliable.,Positive
Laptop Sleeve,Accessories,"Works fine, but a bit overpriced.",Neutral
Robot Vacuum,Home Goods,Average product. Meets basic expectations.,Neutral
Action Camera,Electronics,Absolutely love this product! Works perfectly.,Positive
Robot Vacuum,Home Goods,Perfect for my needs. Exceeded expectations.,Positive
Office Chair,Furniture,Super comfortable and very reliable.,Positive
Office Chair,Furniture,Charges quickly and holds a lot of power.,Positive
Bluetooth Speaker,Audio,Completely broke after a week. Waste of money.,Negative
Bluetooth Speaker,Audio,"Returned it immediately, not worth it.",Negative
Smartwatch,Wearables,"Battery lasts forever, very impressed.",Positive
Wireless Mouse,Accessories,A must-have for anyone. Love it!,Positive
Laptop Sleeve,Accessories,Sturdy and stylish. Worth every penny.,Positive
Gaming Headset,Audio,A must-have for anyone. Love it!,Positive
Office Chair,Furniture,Acceptable quality for everyday use.,Neutral
Smartwatch,Wearables,Absolutely love this product! Works perfectly.,Positive
Action Camera,Electronics,Very disappointed. Does not work as advertised.,Negative
Portable Charger,Accessories,"Works fine, but a bit overpriced.",Neutral
Robot Vacuum,Home Goods,Satisfactory performance overall.,Neutral
Gaming Headset,Audio,"Stopped working suddenly, very unreliable.",Negative
Laptop Sleeve,Accessories,Absolutely love this product! Works perfectly.,Positive
Bluetooth Speaker,Audio,"Gets stuck constantly, very frustrating.",Negative
Bluetooth Speaker,Audio,Absolutely love this product! Works perfectly.,Positive
Wireless Mouse,Accessories,Satisfactory performance overall.,Neutral
Bluetooth Speaker,Audio,A must-have for anyone. Love it!,Positive
Wireless Mouse,Accessories,Completely broke after a week. Waste of money.,Negative
Wireless Mouse,Accessories,Great value for the price. Highly recommend.,Positive
Smartwatch,Wearables,Uncomfortable to use for long periods.,Negative
Smartwatch,Wearables,Battery drains way too fast. Terrible product.,Negative
Action Camera,Electronics,Average product. Meets basic expectations.,Neutral
Action Camera,Electronics,"Gets the job done, but feels basic.",Neutral
Smartwatch,Wearables,"Gets stuck constantly, very frustrating.",Negative
Laptop Sleeve,Accessories,Super comfortable and very reliable.,Positive
Office Chair,Furniture,Poorly designed and difficult to use.,Negative
Portable Charger,Accessories,"Nothing special, just a regular product.",Neutral
Action Camera,Electronics,Poorly designed and difficult to use.,Negative
Laptop Sleeve,Accessories,Amazing build quality and easy to use.,Positive
Gaming Headset,Audio,Perfect for my needs. Exceeded expectations.,Positive
Office Chair,Furniture,Uncomfortable to use for long periods.,Negative
Office Chair,Furniture,Very disappointed. Does not work as advertised.,Negative
Laptop Sleeve,Accessories,Poorly designed and difficult to use.,Negative
Wireless Mouse,Accessories,"Nothing special, just a regular product.",Neutral
Action Camera,Electronics,Average product. Meets basic expectations.,Neutral
Action Camera,Electronics,Perfect for my needs. Exceeded expectations.,Positive
Smartwatch,Wearables,The sound is distorted and unpleasant.,Negative
Smartwatch,Wearables,Great value for the price. Highly recommend.,Positive
Action Camera,Electronics,Poorly designed and difficult to use.,Negative
Robot Vacuum,Home Goods,"Works fine, but a bit overpriced.",Neutral
Portable Charger,Accessories,"Not bad, but not great either.",Neutral
Bluetooth Speaker,Audio,Amazing build quality and easy to use.,Positive
Laptop Sleeve,Accessories,Absolutely love this product! Works perfectly.,Positive
Robot Vacuum,Home Goods,"It does the job, nothing extraordinary.",Neutral
Action Camera,Electronics,Sturdy and stylish. Worth every penny.,Positive
Electric Kettle,Kitchen,"It does the job, nothing extraordinary.",Neutral
Electric Kettle,Kitchen,Sturdy and stylish. Worth every penny.,Positive
Robot Vacuum,Home Goods,Absolutely love this product! Works perfectly.,Positive
Laptop Sleeve,Accessories,Satisfactory performance overall.,Neutral
Office Chair,Furniture,"Nothing special, just a regular product.",Neutral
Office Chair,Furniture,Satisfactory performance overall.,Neutral
Office Chair,Furniture,Sturdy and stylish. Worth every penny.,Positive
Portable Charger,Accessories,Absolutely love this product! Works perfectly.,Positive
Action Camera,Electronics,"Not bad, but not great either.",Neutral
